source	source_node_type	target	target_node_type	edge_type
pubchem.compound:2794	Compound	ncbigene:3738	Gene	downregulates
pubchem.compound:2796	Compound	ncbigene:1374	Gene	upregulates
pubchem.compound:2796	Compound	ncbigene:2168	Gene	upregulates
pubchem.compound:2796	Compound	ncbigene:2806	Gene	upregulates
pubchem.compound:2796	Compound	ncbigene:3162	Gene	upregulates
pubchem.compound:2796	Compound	ncbigene:4023	Gene	upregulates
pubchem.compound:2796	Compound	ncbigene:51	Gene	upregulates
pubchem.compound:2796	Compound	ncbigene:5464	Gene	upregulates
pubchem.compound:2796	Compound	ncbigene:5468	Gene	upregulates
pubchem.compound:2796	Compound	ncbigene:9060	Gene	upregulates
pubchem.compound:2796	Compound	ncbigene:9407	Gene	upregulates
pubchem.compound:2796	Compound	ncbigene:1448	Gene	downregulates
pubchem.compound:2797	Compound	ncbigene:1051	Gene	upregulates
pubchem.compound:2797	Compound	ncbigene:19	Gene	upregulates
pubchem.compound:2797	Compound	ncbigene:225	Gene	upregulates
pubchem.compound:2797	Compound	ncbigene:255738	Gene	downregulates
pubchem.compound:2797	Compound	ncbigene:2806	Gene	upregulates
pubchem.compound:2797	Compound	ncbigene:335	Gene	downregulates
pubchem.compound:2797	Compound	ncbigene:4023	Gene	upregulates
pubchem.compound:2797	Compound	ncbigene:4792	Gene	upregulates
pubchem.compound:2797	Compound	ncbigene:5244	Gene	upregulates
pubchem.compound:2797	Compound	ncbigene:5444	Gene	upregulates
