source	target	relation	source_database
drugbank:DB00668	HGNC:286	1	drugbank
drugbank:DB04946	HGNC:5293	-1	drugbank
drugbank:DB00328	HGNC:9236	1	drugbank
drugbank:DB00527	HGNC:10593	-1	drugbank
drugbank:DB01205	HGNC:4075	1	drugbank
drugbank:DB11901	HGNC:644	-1	drugbank
drugbank:DB00624	HGNC:3467	-1	drugbank
drugbank:DB11093	HGNC:8008	1	drugbank
drugbank:DB06775	HGNC:2323	1	drugbank
drugbank:DB00402	HGNC:4076	1	drugbank
drugbank:DB00388	HGNC:280	1	drugbank
drugbank:DB00939	HGNC:9604	-1	drugbank
drugbank:DB06654	HGNC:6834	-1	drugbank
drugbank:DB15328	HGNC:16709	-1	drugbank
drugbank:DB01281	HGNC:1705	-1	drugbank
drugbank:DB12010	HGNC:12841	-1	drugbank
drugbank:DB11619	HGNC:8910	-1	drugbank
drugbank:DB00490	HGNC:277	1	drugbank
drugbank:DB06595	HGNC:6307	-1	drugbank
drugbank:DB06401	HGNC:3467	-1	drugbank
drugbank:DB13144	HGNC:2439	1	drugbank
drugbank:DB01221	HGNC:5289	-1	drugbank
drugbank:DB12278	HGNC:277	-1	drugbank
drugbank:DB00770	HGNC:9593	1	drugbank
drugbank:DB00690	HGNC:4076	1	drugbank
drugbank:DB00642	HGNC:794	-1	drugbank
drugbank:DB00497	HGNC:8153	1	drugbank
drugbank:DB09059	HGNC:897	-1	drugbank
drugbank:DB00418	HGNC:4588	-1	drugbank
drugbank:DB00420	HGNC:278	-1	drugbank
drugbank:DB08889	HGNC:9542	-1	drugbank
drugbank:DB00696	HGNC:5289	1	drugbank
drugbank:DB08906	HGNC:8910	1	drugbank
drugbank:DB01373	HGNC:11275	1	drugbank
drugbank:DB06681	HGNC:1705	-1	drugbank
drugbank:DB11157	HGNC:6414	-1	drugbank
drugbank:DB00602	HGNC:4083	1	drugbank
drugbank:DB12010	HGNC:2451	-1	drugbank
drugbank:DB01185	HGNC:7978	-1	drugbank
drugbank:DB06016	HGNC:5293	-1	drugbank
drugbank:DB12141	HGNC:427	-1	drugbank
drugbank:DB00572	HGNC:4326	-1	drugbank
drugbank:DB00201	HGNC:9413	-1	drugbank
drugbank:DB00929	HGNC:9595	1	drugbank
drugbank:DB01011	HGNC:2591	-1	drugbank
drugbank:DB00805	HGNC:5295	-1	drugbank
drugbank:DB01050	HGNC:9236	1	drugbank
drugbank:DB00695	HGNC:1373	-1	drugbank
drugbank:DB00777	HGNC:278	-1	drugbank
drugbank:DB00277	HGNC:8780	-1	drugbank
drugbank:DB13928	HGNC:4324	1	drugbank
drugbank:DB12010	HGNC:3690	-1	drugbank
